Batch Number,avgThroughput,WK1,WK2,wk3,ins1,ins2,bf1,bf2,bf3,bf4,bf5
1,0.088,0.296731992,0,0,0,0.032873502,0.148606591,0.032960459,0,0.788200075,0.386295672
2,0.094,0.372042362,0.116799705,0.012296825,0,0.5201792,0.147227347,0.117347367,0.076647145,1.459875496,1.300611057
3,0.086,0.363436256,0.03851498,0.013913113,0,0.818908807,0.16428613,0.084580258,0.026464493,1.530248415,1.784295258
4,0.104,0.410598774,0.091649964,0,0,0.995038599,0.19925014,0.139969954,0,1.481604652,1.9
5,0.09,0.352690169,0.134933449,0,0,0.906121515,0.168836804,0.136574714,0,1.378843551,1.920964024
6,0.098,0.343949861,0.006735973,0,0,0.955216879,0.170266411,0.3,0,1.219008253,2
7,0.118,0.511613975,0.056702698,0.04216315,0,0.952845492,0.347325698,0.377579166,0,1.113484452,1.976404268
8,0.066,0.266832774,0.029409959,0,0,0.883779252,0.168340158,0.3,0,1.1,2
9,0.098,0.365526216,0,0,0,0.987508461,0.116725514,0.3,0,1.1,2
10,0.084,0.340630387,0,0.058234227,0,0.924275789,0.208375329,0.468100886,0.033581568,1.1,1.958384209
11,0.092,0.314406761,0.062520047,0.0115865,0.001938568,0.85601315,0.153465042,0.398026104,0.038310113,1.132103639,1.958783768
12,0.096,0.484602367,0.060216429,0.049478693,0,0.860561827,0.291206066,0.455709151,0.012108143,1.133791962,1.919789734
13,0.1,0.472406401,0.010397017,0,0,1,0.189567922,0.517712487,0,1.020253493,2
14,0.07,0.311418439,0,0,0,0.961759846,0.156208666,0.621895744,0,1,2
15,0.108,0.427367155,0.07035934,0,0,0.929936408,0.251614653,0.634718605,0,0.892233077,2
16,0.1,0.448920366,0.110117413,0.01918862,0,0.979155297,0.333943688,0.854789562,0.003027919,0.663199667,1.983238784
17,0.094,0.376037871,0,0,0,0.9,0.132045169,0.830661792,0,0.674991843,1.974357917
18,0.1,0.405331995,0.144003784,0,0,0.881720813,0.228685517,0.854496018,0,0.788757906,1.998455802
19,0.096,0.361907419,0.04670903,0.00832954,0,0.877330669,0.209744207,0.983006153,0.00193819,0.626592068,1.802574488
20,0.112,0.482449979,0.143029798,0.035426122,0,0.795633122,0.257928659,1.140215621,0.012014248,0.535568663,1.914171898
21,0.116,0.408214269,0.031959302,0,0,0.894885244,0.139971722,1.214234902,0,0.416493655,1.985434025
22,0.092,0.445510412,0,0,0,1,0.118412044,1.2,0,0.4,2
23,0.104,0.456584064,0,0.05533236,0,0.880326051,0.293017209,1.193991709,0.031042687,0.4,1.865038439
24,0.102,0.350678908,0.026754817,0.034721709,0,0.805835952,0.138299583,1.071933782,0.020383024,0.4,1.780647875
25,0.094,0.384127641,0.168232327,0,0,0.909175245,0.146268115,0.963810296,0,0.336245285,1.855537238
26,0.082,0.403424867,0.015816382,0,0,1,0.147730441,1.00176451,0,0.280679216,1.9
27,0.1,0.378678938,0,0,0,1,0.223043617,1.115307613,0,0.2,1.9
28,0.088,0.337952402,0.012230475,0.006398994,0,0.986553617,0.162386417,1.09655203,0,0.202202439,1.9
29,0.09,0.436221888,0,0,0,1,0.195074936,1,0,0.2,1.9
30,0.076,0.382228664,0,0,0,1,0.167524559,1.053441022,0,0.2,1.9
31,0.078,0.334485645,0,0,0,1,0.087958024,1.2,0,0.2,1.9
32,0.078,0.301938047,0,0,0,0.972226043,0.110390644,1.314247889,0.005458446,0.2,1.9
33,0.092,0.386565005,0,0.105537961,0,0.9,0.079162924,1.4,0.015065862,0.2,1.815065862
34,0.094,0.380928229,0.017036651,0.019803953,0,0.835293093,0.191673853,1.375565958,0,0.2,1.7486505
35,0.098,0.469139909,0.033870244,0.005199376,0,0.771325738,0.304768225,1.420713861,0,0.200977635,1.860707987
36,0.094,0.348720475,0.008401748,0.02660557,0,0.865829031,0.172707997,1.266520181,0.033511148,0.279037363,1.824829452
37,0.114,0.487655169,0.122669667,0.007405187,0,0.877655086,0.245209511,1.115035769,0,0.224089891,1.826680618
38,0.094,0.333489089,0,0,0,0.88669002,0.065704888,1.2,0,0.3,1.9
39,0.104,0.4355583,0.018894614,0.004851894,0,0.885165312,0.181685446,1.123299054,0,0.363346465,1.9
40,0.088,0.407784952,0.008417163,0,0,0.966687913,0.274633058,1.147681823,0,0.4,1.9
41,0.112,0.44156811,0,0.003476859,0,0.975153082,0.222121033,1.298244625,0,0.4,1.893913294
42,0.104,0.395279881,0.040630219,0.059087006,0,0.858296441,0.264156497,1.099847912,0,0.403397677,1.856913392
43,0.084,0.392315173,0,0,0,0.963739115,0.17638425,1,0,0.485335963,1.9
44,0.102,0.498725557,0,0.005169021,0,0.97319877,0.190701115,1,0,0.5,1.9
45,0.086,0.455820127,0,0.014892886,0,0.930099695,0.252315508,1,0,0.5,1.899332176
46,0.092,0.453039822,0.003153091,0.008822554,0,0.987515216,0.318311656,1.203073172,0,0.419312946,1.9
47,0.102,0.377371034,0.016740202,0,0,0.9,0.101962674,1.307425396,0,0.318685261,1.9
48,0.108,0.446825466,0.068091749,0,0.003546618,0.858396362,0.320095193,1.392075147,0.017890669,0.2,1.9
49,0.104,0.338873185,0,0.18684148,0.008427915,0.893946504,0.156520227,1.502905449,0.033323128,0.2,1.782650727
50,0.112,0.548279722,0.049009821,0.057542583,0,0.84652637,0.215447099,1.611956057,0.059459545,0.169450895,1.782470032
51,0.106,0.48305705,0,0.013472545,0,0.856673497,0.160619217,1.58859885,0,0.2,1.9
52,0.096,0.41156401,0.019309642,0.044392039,0,0.729535126,0.260428664,1.478397078,0.027220592,0.2,1.983269498
53,0.106,0.490029578,0.087511617,0.031939059,0,0.757628643,0.224371373,1.4,0,0.2,2
54,0.068,0.352279661,0,0,0,0.982192809,0.18347043,1.404312814,0,0.2,2
55,0.086,0.372748087,0,0,0,0.99818633,0.206164002,1.5,0,0.2,2
56,0.108,0.478634869,0,0.03284399,0,0.829870854,0.23158418,1.5,0.005715048,0.2,1.952113766
57,0.098,0.395164652,0.003671549,0.033521951,0,0.871916793,0.224430329,1.494748962,0.028203484,0.2,1.916067441
