Replication #,Throughput,Workstation 1 Busy Prob,Workstation 2 Busy Prob,Workstation 3 Busy Prob,Inspector 1 Blocked Prob,Inspector 2 Blocked Prob,Buffer 1 Occupancy Average,Buffer 2 Occupancy Average,Buffer 3 Occupancy Average,Buffer 4 Occupancy Average,Buffer 5 Occupancy Average
1,0.09716666666666667,0.42156324945391027,0.024895638826548785,0.03061577241264225,0.0,0.823758149784721,0.2047520930260086,0.9502784775946838,0.026128968992031938,0.7869540489109974,1.972590182295285
2,0.09683333333333333,0.4314751108346454,0.0308741377428114,0.019607176690555776,0.0,0.9189665503388925,0.21113276650877108,0.7839293152628085,0.022445974576381447,0.39597431724845433,1.8785414436169567
3,0.09933333333333333,0.4527461506638189,0.033972044320262226,0.032794430041450745,0.0,0.9276246376757535,0.24412017757687152,0.8249242062397435,0.03826882822382343,0.2785334833945579,1.904756421935267
4,0.09933333333333333,0.40914606234461925,0.025337040915286404,0.02971100481786764,0.0,0.8955543093778664,0.21451913852591928,1.032964550095554,0.0030949979765632634,0.22607835346173483,1.9830546929430397
5,0.09266666666666666,0.39106325978384593,0.02653718791045272,0.0228382237481826,0.0,0.9164382170805903,0.17259355686631103,0.6558278609432532,0.008798166108197544,0.630015911308479,1.856592524568935
6,0.09533333333333334,0.44026681976144955,0.035371108063190264,0.025013910842315606,0.0,0.9618513453124043,0.22567808189963115,0.8215761211842895,0.022334257481425313,0.17738791607178503,1.9827485277750838
7,0.10166666666666667,0.44840211873699765,0.018343999829890892,0.027084160089508712,0.0,0.9039039481099377,0.24405049488715114,0.9598584642098962,0.011449265132080957,0.2391636927768487,1.9707904871567352
8,0.09866666666666667,0.4265586994035148,0.03591613335667618,0.010711092619554734,0.0,0.677075163514753,0.21935316765119797,0.5509494413890216,0.1021877319181793,0.6820479276538567,1.727796566296543
9,0.0925,0.4102767603775889,0.017936875715329887,0.014957590260685511,0.0,0.8792528462904358,0.2144146340470818,0.9274106499471301,0.01457539154479006,0.4643923242991919,1.9214948861845222
10,0.09,0.39934721550174435,0.02539280862621261,0.015522438855763616,0.0,0.8480585037269093,0.19620070490497094,1.1378460321343542,0.004375350404119445,0.3889004835151735,1.9832419941807606
11,0.09383333333333334,0.37636762482576386,0.04469553494747667,0.019602840987196904,0.0,0.9768138297371107,0.1905425248774902,1.6377070922316708,0.0033914946511628538,0.02683702994991165,1.9832773075287438
12,0.09083333333333334,0.3772633945743123,0.019192710690860017,0.030625308920566908,0.001430738501129516,0.8404129669125356,0.18102772878196735,1.6133391046911008,0.011353100022703492,0.01648689378958094,1.9693672582972073
13,0.096,0.41345048098122805,0.015749816350668785,0.020262440457972465,0.0,0.8949738519010295,0.20041847785640077,1.0955486434109196,0.006844408728080112,0.3954382623263168,1.9073966044335893
14,0.102,0.41928178353214857,0.03630727179540069,0.017073252039526608,0.00013256871831814957,0.8258135336292257,0.2225714815907667,0.8220510009489067,0.032468257089008225,0.4922170346782876,1.8887105636029797
15,0.09083333333333334,0.3941147223906187,0.008414591494613584,0.03097299100336848,8.509378464016966e-05,0.7633378852242412,0.17379970919603085,1.1975285885061369,0.013966187901939672,0.30247865481372616,1.9583223577851556
16,0.094,0.3854099940750437,0.029472703258782266,0.02858883512904284,0.0,0.8852971003152776,0.19564322962228942,0.8645789250210774,0.0018829544618114747,0.5036530684259158,1.9634257070687178
17,0.10316666666666667,0.39671300718306823,0.02133303341325643,0.015129587240701218,0.0008388999062524931,0.8544527810129393,0.17783234986084304,0.5326695137006213,0.011548579402581501,1.1672861316096257,1.9784934013365412
18,0.101,0.4714243083208815,0.023008007324630438,0.013931524947148432,0.0,0.995014030715523,0.242431537907311,1.1280605305264826,0.005070254016747868,0.24840879322694323,1.9860905746717321
19,0.09766666666666667,0.43250186083404385,0.02832689767311926,0.02475470405087045,0.0,1.0073447496727719,0.23183998762652902,0.5462086455478526,0.003399052149029709,0.3493392834080629,1.9876565730096702
20,0.09116666666666666,0.3956153545572373,0.02110382397482685,0.039700625277456915,0.0002857631237627629,0.9041870772698004,0.19689318846989584,1.4038616332631226,0.018999906513538275,0.10523404323049257,1.9409908829963405
