Batch Number,Throughput,Workstation 1 Busy %,Workstation 2 Busy %,Workstation 3 Busy %,Inspector 1 Blocked %,Inspector 2 Blocked %,Buffer 1 Occupancy Average,Buffer 2 Occupancy Average,Buffer 3 Occupancy Average,Buffer 4 Occupancy Average,Buffer 5 Occupancy Average
1,0.1,23.65493093,0,0,0,0,0.026019125,0,0,1.648979436,0
1,0.02,24.20964504,0,0,0,0,0,0,0,0,0.542275961
1,0.02,8.361729968,0,0,0,4.165605001,0,0,0,0.883015681,0.175722511
1,0.12,29.32948159,0,0,0,0,0.23343158,0,0,0.89776713,0
1,0.12,31.39047853,0,0,0,0,0.335020986,0,0,0,0
1,0.16,51.20897772,0,0,0,0,0.077850831,0,0,0,0.379247111
1,0.06,29.38718101,0,0,0,0,0.636760602,0.32960459,0,1.313536982,0
1,0.08,33.22546063,0,0,0,0,0.097852883,0,0,0.923513719,0.576114502
1,0.1,48.60126833,0,0,0,28.70789723,0.079129898,0,0,1.42217874,1.365403789
1,0.1,17.36283816,0,0,0,0,0,0,0,0.793009061,0.824192848
2,0.08,23.48366528,15.29703803,0,0,0,0.154730864,0,0,1.145443847,0.778704242
2,0.1,55.28377932,0,0,0,62.24433317,0.150958013,0,0,1.499144812,1.854188264
2,0.08,55.05967602,0,0,0,100,0.043411291,0,0,2,1
2,0.06,15.77485572,0,0,0,31.1314117,0.01382478,0,0,1,0.780290147
2,0.12,36.51917216,0,0,0,54.71200944,0.074671167,0,0,1.793121025,1.678456558
2,0.04,24.6233276,0,0,0,0,0.146286445,0,0,0,1.158722595
2,0.22,88.95034761,101.502667,12.29682505,0,0,0.585972827,1.17347367,0.766471451,1.17347367,0
2,0.12,46.17714407,0,0,0,98.5560831,0.301258101,0,0,1.987571608,2
2,0.08,17.39705713,0,0,0,100,0.001159981,0,0,2,2
2,0.04,8.773337368,0,0,0,73.53536276,0,0,0,2,1.755748763
3,0.02,0.560012515,0,0,0,73.3269726,0,0,0,2,1.996154662
3,0.02,0.617486911,0,0,0,100,0,0,0,2,2
3,0.12,17.38902192,0,0,0,100,0,0,0,2,1
3,0.16,102.2993678,0,0,0,100,0.152381946,0,0,1,2
3,0.14,70.46705557,0,0,0,100,0.109684481,0,0,2,2
3,0.16,73.66874682,9.715649609,0,0,37.17778114,0.798700086,0.042111368,0,0.103274207,2
3,0.04,16.79711462,0,13.91311333,0,8.404053496,0,0,0.264644933,1.318022022,0.846797915
3,0.06,17.12932665,0,0,0,100,0,0,0,2,2
3,0.12,64.36629486,28.79933068,0,0,100,0.582094784,0.803691214,0,0.881187924,2
3,0.02,0.141828644,0,0,0,100,0,0,0,2,2
4,0.14,46.37467974,0,0,0,100,0.146472252,0,0,2,2
4,0.14,63.44844112,0,0,0,100,0.61553211,0,0,1.816046516,2
4,0.22,84.0095264,0,0,0,95.03859947,0.863837537,0.399699541,0,2,1
4,0.02,5.75529404,0,0,0,100,0,0,0,1,2
